"real","City","SMA","Level","Offset","AICc","BIC","RMSE","DevianceExplained","DevExact","SampleSize","ResidualShapiroWilkTest","ACFResidual","perm"
4,"Ajax","3d","Elementary",0,-126.92,-127.13,0.718479554650911,0.79,0.785965318094244,21,0.9836,0.168387524242935,"Ajax|Elementary|3d"
4,"Ajax","5d","Elementary",6,-168.49,-165.55,0.610408031377612,0.82,0.820173336606456,25,0.139,0.399466271518287,"Ajax|Elementary|5d"
4,"Pickering","1d","Secondary",-6,-138.4,-135.82,1.06032677768776,0.17,0.173481124494121,24,0.1818,0.338781966916643,"Pickering|Secondary|1d"
4,"Ajax","3d","Secondary",-5,-135.19,-138.54,0.379700287714263,0.86,0.855556788896954,19,0.185,0.026123222438399,"Ajax|Secondary|3d"
4,"Ajax","5d","Secondary",4,-186.47,-185.25,0.452276435357556,0.9,0.903810636618301,27,0.12,-0.203050430867719,"Ajax|Secondary|5d"
4,"Pickering","1d","Total",3,-99.79,-108.18,0.734015595065155,0.87,0.871038310451541,19,0.4426,-0.0444493299015625,"Pickering|Total|1d"
4,"Ajax","3d","Total",0,-133.18,-135.1,0.549895126045747,0.84,0.835450299248059,21,0.5807,0.293820881238459,"Ajax|Total|3d"
4,"Ajax","5d","Total",6,-179.98,-177.11,0.523208962717942,0.85,0.84953965028963,25,0.4246,0.322249113782018,"Ajax|Total|5d"
5,"Pickering","1d","Elementary",3,-89.08,-87.8,1.9178204347797,0.41,0.411158035428971,20,0.8855,0.288150835238827,"Pickering|Elementary|1d"
5,"Ajax","1d","Elementary",-6,-46.67,-51.46,1.95513373520899,0.64,0.643020828289311,12,0.8655,0.296339952845746,"Ajax|Elementary|1d"
5,"Ajax","5d","Elementary",-3,-138.14,-135.82,0.998578093939766,0.7,0.70018332909685,23,0.4742,0.239126147882528,"Ajax|Elementary|5d"
5,"Pickering","1d","Secondary",1,-167.22,-162.93,1.04482146473903,0.24,0.235807457936003,29,0.6166,0.319712855863576,"Pickering|Secondary|1d"
5,"Ajax","1d","Secondary",1,-53.57,-56.62,1.54337920716902,0.45,0.445347764130062,12,0.6224,0.343679695143633,"Ajax|Secondary|1d"
5,"Ajax","5d","Secondary",3,-155.08,-153.39,0.578350899171185,0.72,0.724153070898194,22,0.9775,0.0537420846852231,"Ajax|Secondary|5d"
5,"Pickering","1d","Total",3,-97.61,-96.8,1.40214959334083,0.51,0.512943844032028,19,0.683,0.227001925160496,"Pickering|Total|1d"
5,"Ajax","1d","Total",-6,-51.99,-58.5,1.36539232910549,0.73,0.725497600262107,12,0.8093,0.334842556696771,"Ajax|Total|1d"
5,"Ajax","5d","Total",-3,-140.58,-138.26,0.97345044162572,0.65,0.645939246892233,23,0.1607,0.361895217332431,"Ajax|Total|5d"
6,"Pickering","1d","Elementary",1,-116.1,-113,1.86666484651656,0.45,0.448903267289846,26,0.0984,0.319237213012069,"Pickering|Elementary|1d"
6,"Ajax","1d","Elementary",-6,-83.12,-84.04,1.63154852739972,0.69,0.685072566505743,18,0.1728,-0.00926738838880255,"Ajax|Elementary|1d"
6,"Ajax","3d","Elementary",-2,-233.43,-221.49,1.27068832074903,0.73,0.725798398205854,45,0.6797,0.374865248061829,"Ajax|Elementary|3d"
6,"Ajax","5d","Elementary",-6,-264.15,-255.03,0.654769330404569,0.9,0.896138973440123,40,0.5655,0.222887147116078,"Ajax|Elementary|5d"
6,"Ajax","7d","Elementary",-6,-294.68,-280.54,0.920456740702902,0.86,0.859706727392065,50,0.244,0.24538237650597,"Ajax|Elementary|7d"
6,"Pickering","1d","Secondary",1,-166.93,-163.59,1.01548564527951,0.25,0.250621007324015,28,0.1929,0.0817559001190386,"Pickering|Secondary|1d"
6,"Ajax","1d","Secondary",1,-106.24,-110.36,0.657869597325704,0.87,0.873149319990543,18,0.9258,-0.146013485349514,"Ajax|Secondary|1d"
6,"Ajax","3d","Secondary",7,-278.17,-265.73,0.824024937360417,0.71,0.705246477098725,46,0.1055,0.303184904283494,"Ajax|Secondary|3d"
6,"Ajax","5d","Secondary",2,-314.28,-303.45,0.442672707255207,0.86,0.864632308706688,43,0.1913,0.357957964365429,"Ajax|Secondary|5d"
6,"Ajax","7d","Secondary",2,-337.62,-324.61,0.681049600210804,0.82,0.820978792849981,50,0.0896,0.359235337628672,"Ajax|Secondary|7d"
6,"Pickering","1d","Total",1,-129.53,-126.43,1.48740390474336,0.45,0.453245797701317,26,0.5501,0.314115863243446,"Pickering|Total|1d"
6,"Ajax","1d","Total",-6,-91.16,-92.48,1.21227981848357,0.71,0.712513082710156,18,0.5418,0.143158756506473,"Ajax|Total|1d"
6,"Ajax","5d","Total",-6,-283.66,-274.79,0.532340775369349,0.9,0.904685614889224,40,0.7358,0.237932615182864,"Ajax|Total|5d"
6,"Ajax","7d","Total",-1,-309.51,-295.76,0.814771663044198,0.88,0.882032349932725,50,0.8997,0.37243355060359,"Ajax|Total|7d"
7,"Pickering","1d","Elementary",-6,-89.99,-88.07,2.55113273711152,0.14,0.144004331832021,22,0.2342,0.357284520023112,"Pickering|Elementary|1d"
7,"Ajax","1d","Elementary",1,-70.14,-72.58,1.64194227660572,0.64,0.636564834207177,16,0.9156,0.307760937509096,"Ajax|Elementary|1d"
7,"Ajax","7d","Elementary",-2,-170.66,-171.13,0.407605368862391,0.95,0.954647009995168,24,0.1368,0.0924423156549978,"Ajax|Elementary|7d"
7,"Pickering","1d","Secondary",1,-160.33,-156.73,1.11342518151239,0.14,0.136730419995442,28,0.2234,0.30513571777753,"Pickering|Secondary|1d"
7,"Ajax","1d","Secondary",-6,-96.77,-96.82,0.729029252996717,0.55,0.550931940856992,15,0.7975,0.181060212672034,"Ajax|Secondary|1d"
7,"Ajax","3d","Secondary",3,-207.78,-199.98,1.118211349095,0.78,0.779318170334014,37,0.9325,0.355087928081655,"Ajax|Secondary|3d"
7,"Ajax","7d","Secondary",-6,-195.97,-195.58,0.275103847812913,0.97,0.97396442751198,24,0.934,0.00410994341848859,"Ajax|Secondary|7d"
7,"Pickering","1d","Total",3,-90.13,-89.19,1.51703597036192,0.08,0.0833336837354586,18,0.2061,0.379205704642139,"Pickering|Total|1d"
7,"Ajax","1d","Total",-6,-79.69,-81.87,0.991296999085685,0.53,0.525436110891868,15,0.543,0.365532985289772,"Ajax|Total|1d"
7,"Ajax","7d","Total",2,-179.22,-179.75,0.319044307679595,0.96,0.958305984915989,24,0.2442,0.1582031446273,"Ajax|Total|7d"
8,"Pickering","1d","Elementary",1,-115.48,-112.27,1.98181645385888,0.4,0.403347244380993,26,0.1861,0.379292321717128,"Pickering|Elementary|1d"
8,"Ajax","3d","Elementary",-7,-174.48,-168.9,1.13840794955602,0.8,0.804507868831314,32,0.4784,0.228785667957048,"Ajax|Elementary|3d"
8,"Ajax","5d","Elementary",2,-143.51,-143.07,0.601547589284664,0.92,0.924645612115446,22,0.7452,-0.0679005919106795,"Ajax|Elementary|5d"
8,"Ajax","7d","Elementary",6,-330.98,-316.71,0.896115567354218,0.85,0.845003604811406,54,0.2609,0.0448627673665025,"Ajax|Elementary|7d"
8,"Pickering","1d","Secondary",1,-162.01,-158.7,1.12358599625252,0.14,0.140423356923705,28,0.6645,0.398892182252371,"Pickering|Secondary|1d"
8,"Ajax","3d","Secondary",5,-186.72,-182.8,0.656698816522801,0.82,0.821819583748611,29,0.108,0.0298558252324838,"Ajax|Secondary|3d"
8,"Ajax","5d","Secondary",-2,-176.39,-174.45,0.390570550330394,0.69,0.686802184038704,22,0.5691,0.156721697112224,"Ajax|Secondary|5d"
8,"Pickering","1d","Total",3,-103.29,-102.33,1.09196269087309,0.56,0.560625611456424,18,0.4272,-0.196029112467877,"Pickering|Total|1d"
8,"Ajax","5d","Total",1,-153.15,-152.7,0.491782467430064,0.92,0.920078100243034,22,0.714,0.0736624704476007,"Ajax|Total|5d"
8,"Ajax","7d","Total",6,-353.66,-336.78,0.62931024840409,0.88,0.878588135662435,54,0.4457,0.0316557870818953,"Ajax|Total|7d"
9,"Pickering","1d","Elementary",6,-87.55,-86.78,1.8197379448564,0.52,0.520698527222639,20,0.7128,0.10304269297229,"Pickering|Elementary|1d"
9,"Ajax","1d","Elementary",1,-56.66,-62.17,1.69929954857749,0.67,0.673261575328531,15,0.9208,0.325699146114132,"Ajax|Elementary|1d"
9,"Ajax","5d","Elementary",0,-90.78,-100.94,0.255646512303194,0.99,0.985995791317973,13,0.3648,-0.000914923772857504,"Ajax|Elementary|5d"
9,"Ajax","7d","Elementary",1,-166.32,-166.04,0.477465903185081,0.93,0.933932252146514,24,0.5837,-0.073561993382084,"Ajax|Elementary|7d"
9,"Pickering","1d","Secondary",-3,-105.52,-106.03,0.603310720966772,0.61,0.612667743603632,16,0.0942,0.17078655848555,"Pickering|Secondary|1d"
9,"Ajax","1d","Secondary",6,-59.04,-64.1,0.783166462525809,0.8,0.804245333521395,11,0.3012,0.130103056046038,"Ajax|Secondary|1d"
9,"Ajax","5d","Secondary",-3,-118.56,-127.63,0.0992959996770655,0.88,0.882764912407312,13,0.7146,-0.273578270684024,"Ajax|Secondary|5d"
9,"Ajax","7d","Secondary",1,-221.67,-232.78,0.0908078022887506,0.98,0.984972505187564,24,0.7521,-0.205421760178998,"Ajax|Secondary|7d"
9,"Pickering","1d","Total",6,-92.37,-91.96,1.44386605206295,0.49,0.490413905986111,19,0.232,0.210693125421673,"Pickering|Total|1d"
9,"Ajax","1d","Total",1,-59.63,-64.6,1.60669914795963,0.59,0.589482670280866,15,0.9285,0.390768141142146,"Ajax|Total|1d"
9,"Ajax","5d","Total",-3,-102.26,-108.91,0.197763160567454,0.99,0.985556475121305,13,0.5179,0.142472427820429,"Ajax|Total|5d"
9,"Ajax","7d","Total",1,-173.56,-174.81,0.379785228183056,0.94,0.94102764425874,24,0.4802,0.0296384397113631,"Ajax|Total|7d"
10,"Pickering","1d","Elementary",3,-82.53,-82.2,1.99794895934593,0.47,0.471538475045397,19,0.7754,0.208715783772244,"Pickering|Elementary|1d"
10,"Ajax","3d","Elementary",-4,-64.61,-68.37,0.947700141015644,0.4,0.402382824276934,12,0.9352,0.366333741377554,"Ajax|Elementary|3d"
10,"Ajax","7d","Elementary",4,-315.95,-302.58,0.724884340071345,0.87,0.87072788799109,49,0.3591,0.328119794366087,"Ajax|Elementary|7d"
10,"Pickering","1d","Secondary",1,-161.86,-158.36,1.08035438979825,0.16,0.162864216695258,28,0.1601,0.281174440697179,"Pickering|Secondary|1d"
10,"Ajax","3d","Secondary",0,-112.24,-114.02,0.284606902797696,0.61,0.612426126770995,14,0.1188,0.158485139877512,"Ajax|Secondary|3d"
10,"Pickering","7d","Secondary",-6,-633.08,-605.43,0.322024425440256,0.89,0.890076427727837,78,0.1864,0.373560597729674,"Pickering|Secondary|7d"
10,"Ajax","7d","Secondary",-3,-372.69,-358.72,0.395377601783347,0.89,0.890783899616043,49,0.2233,0.244934781025594,"Ajax|Secondary|7d"
10,"Pickering","1d","Total",-2,-89.25,-90.13,1.26643980445432,0.55,0.550695341937507,17,0.1756,0.224043740005157,"Pickering|Total|1d"
10,"Ajax","3d","Total",-5,-80.4,-82.48,0.542824515820379,0.4,0.395051599830222,12,0.7195,0.25992026537433,"Ajax|Total|3d"
10,"Ajax","7d","Total",-5,-295.44,-283.12,0.791075732816063,0.83,0.82524953106548,47,0.5163,0.378878931746904,"Ajax|Total|7d"
