"real","City","SMA","Level","Offset","AICc","BIC","RMSE","DevianceExplained","DevExact","SampleSize","ResidualShapiroWilkTest","ACFResidual","perm"
4,"Pickering","1d","Secondary",5,-86.56,-86.24,1.21978075651213,0.1,0.103815095511595,16,0.5551,0.310970507137715,"Pickering|Secondary|1d"
4,"Ajax","1d","Secondary",-6,-91.24,-93.35,0.693039680472125,0.75,0.7490936160612,15,0.4752,0.141491026166369,"Ajax|Secondary|1d"
4,"Ajax","3d","Secondary",-2,-153.69,-152.2,0.588387845712882,0.67,0.67345813959305,23,0.7746,0.0124622996422061,"Ajax|Secondary|3d"
4,"Ajax","5d","Secondary",7,-229.85,-221.95,0.792968959302346,0.79,0.79136443863859,38,0.825,0.260767696724744,"Ajax|Secondary|5d"
4,"Ajax","7d","Secondary",-5,-98.67,-100.55,0.493572598105725,0.69,0.689677823643743,14,0.9574,0.0223033592598992,"Ajax|Secondary|7d"
4,"Pickering","1d","Total",-4,-89.92,-89.26,1.62574468435793,0.21,0.208394697395059,18,0.3035,0.317033775431066,"Pickering|Total|1d"
4,"Ajax","1d","Total",-6,-71.29,-71.86,1.52609068609557,0.49,0.491195209237987,15,0.7775,0.339181809024549,"Ajax|Total|1d"
4,"Ajax","3d","Total",-2,-127.96,-126.14,1.09966581116194,0.65,0.651410512798809,23,0.1798,0.26538580293393,"Ajax|Total|3d"
4,"Ajax","5d","Total",2,-248.37,-237.91,1.14695135463262,0.8,0.802709083234722,44,0.0762,0.284244050429159,"Ajax|Total|5d"
4,"Ajax","7d","Total",2,-88.48,-89.36,0.788929312409216,0.49,0.486418730241818,14,0.052,0.129221328818776,"Ajax|Total|7d"
5,"Pickering","1d","Elementary",1,-128.94,-125.42,1.70126147180496,0.6,0.600598162973883,27,0.7624,0.362873034953559,"Pickering|Elementary|1d"
5,"Ajax","1d","Elementary",1,-58.91,-71.57,1.02213254004624,0.82,0.824117841178983,14,0.0653,-0.275620088203276,"Ajax|Elementary|1d"
5,"Ajax","7d","Elementary",5,-351.46,-335.26,0.69692975495819,0.95,0.951568086325576,54,0.2566,0.188469276889946,"Ajax|Elementary|7d"
5,"Pickering","1d","Secondary",0,-146.67,-144.05,0.94685047405169,0.22,0.218651144840538,24,0.3937,0.332273945605426,"Pickering|Secondary|1d"
5,"Ajax","1d","Secondary",-6,-69.09,-71.44,0.870403123936542,0.33,0.332569282086727,12,0.9485,0.37294616259274,"Ajax|Secondary|1d"
5,"Ajax","3d","Secondary",4,-190.52,-182.71,1.27863463651957,0.67,0.666247018330817,37,0.2519,0.315086600731038,"Ajax|Secondary|3d"
5,"Ajax","7d","Secondary",-3,-399.53,-383.72,0.493119207206665,0.86,0.862906777041851,55,0.7228,0.396719161381348,"Ajax|Secondary|7d"
5,"Pickering","1d","Total",1,-138.21,-134.59,1.48152272468694,0.49,0.494140089133424,27,0.5782,0.380348636695667,"Pickering|Total|1d"
5,"Ajax","1d","Total",-6,-54.24,-57.44,1.48505778635724,0.26,0.263940380825504,12,0.4426,0.158910996792173,"Ajax|Total|1d"
5,"Ajax","7d","Total",5,-375.44,-360.26,0.571452896294144,0.95,0.947419258421223,54,0.1417,0.223190041557724,"Ajax|Total|7d"
6,"Pickering","1d","Elementary",-2,-76.29,-98.37,0.515578688968046,0.95,0.948960310811725,16,0.8883,0.03754993805964,"Pickering|Elementary|1d"
6,"Ajax","5d","Elementary",0,-151.02,-150.41,0.568111597326641,0.91,0.90517961777535,23,0.7054,-0.0623526602786758,"Ajax|Elementary|5d"
6,"Ajax","7d","Elementary",-4,-70.59,-82.4,0.65123412564126,0.76,0.755383962072617,14,0.1708,0.0713316637183426,"Ajax|Elementary|7d"
6,"Pickering","1d","Secondary",0,-145.1,-142.49,0.935789130861739,0.21,0.214091499226706,24,0.8925,0.260403891739068,"Pickering|Secondary|1d"
6,"Ajax","3d","Secondary",3,-183.6,-176.71,1.50192515898018,0.53,0.52514624614405,36,0.2247,0.257168961358817,"Ajax|Secondary|3d"
6,"Ajax","5d","Secondary",-3,-167.45,-169.48,0.341573655687728,0.84,0.836815839994772,23,0.2124,0.104809653596237,"Ajax|Secondary|5d"
6,"Ajax","7d","Secondary",-4,-113.89,-127.16,0.129427529646414,0.93,0.928434911806912,14,0.8866,0.145057853604454,"Ajax|Secondary|7d"
6,"Pickering","1d","Total",-2,-78.17,-93.56,0.656047478644816,0.87,0.868945801560573,16,0.6339,0.159568685650527,"Pickering|Total|1d"
6,"Ajax","5d","Total",0,-158.36,-157.66,0.49154381066193,0.9,0.904154886067633,23,0.8995,0.000280776141003293,"Ajax|Total|5d"
6,"Ajax","7d","Total",-4,-78.64,-91.01,0.475009695322646,0.8,0.798261993681087,14,0.1576,0.077129419188035,"Ajax|Total|7d"
7,"Pickering","1d","Elementary",7,-105.25,-103.61,1.64978847142337,0.59,0.586850016298963,22,0.8565,0.18664868118214,"Pickering|Elementary|1d"
7,"Ajax","1d","Elementary",1,-54.76,-62.16,1.08623548802489,0.82,0.82152960183798,12,0.7193,0.293988896810719,"Ajax|Elementary|1d"
7,"Ajax","5d","Elementary",2,-116.96,-119.2,0.905213486339259,0.72,0.720118142958421,22,0.3138,0.381005655415252,"Ajax|Elementary|5d"
7,"Pickering","1d","Secondary",0,-148.1,-145.79,0.97636255426734,0.14,0.139022844300817,24,0.6644,0.332366409873929,"Pickering|Secondary|1d"
7,"Ajax","1d","Secondary",1,-48.16,-52.84,1.33427630424225,0.45,0.447651895132575,12,0.0791,-0.158998733617526,"Ajax|Secondary|1d"
7,"Pickering","3d","Secondary",7,-427.02,-415.21,0.721492784155853,0.52,0.524087774912897,63,0.2982,0.391022744218293,"Pickering|Secondary|3d"
7,"Ajax","5d","Secondary",-3,-166.48,-166.56,0.349728497729359,0.86,0.861309212075825,22,0.0748,0.165376659265966,"Ajax|Secondary|5d"
7,"Pickering","1d","Total",7,-114.77,-114.98,1.10104381867076,0.67,0.667642031982028,22,0.4839,0.353129211617944,"Pickering|Total|1d"
7,"Ajax","1d","Total",1,-59.1,-66.38,0.917602320383395,0.81,0.812519810975966,12,0.1792,0.344293166159267,"Ajax|Total|1d"
7,"Pickering","3d","Total",7,-350.42,-337.25,1.19986490345141,0.6,0.600381922603075,61,0.3012,0.277578434985762,"Pickering|Total|3d"
7,"Ajax","5d","Total",4,-118.13,-119.46,0.935687689086111,0.74,0.740215774936924,22,0.5686,0.360978528047693,"Ajax|Total|5d"
8,"Pickering","1d","Elementary",1,-129.01,-125.77,1.78240676087644,0.61,0.608785750628973,26,0.377,0.272227842653687,"Pickering|Elementary|1d"
8,"Ajax","1d","Elementary",1,-72.21,-71.89,1.99907929857012,0.41,0.406666427540282,16,0.9725,0.143535918239189,"Ajax|Elementary|1d"
8,"Ajax","5d","Elementary",-1,-175.37,-171.16,0.802554020151815,0.86,0.859217717757751,29,0.6959,0.314307958527306,"Ajax|Elementary|5d"
8,"Pickering","1d","Secondary",1,-177.37,-174.92,0.655232893498464,0.64,0.644933514115891,28,0.5195,0.293790502393906,"Pickering|Secondary|1d"
8,"Ajax","1d","Secondary",1,-67.11,-67.67,1.81853498966409,0.4,0.400703637548975,16,0.3942,0.2009901846302,"Ajax|Secondary|1d"
8,"Ajax","3d","Secondary",-4,-178.29,-171.08,1.43346581702076,0.53,0.53076932197858,36,0.3259,0.325751787485463,"Ajax|Secondary|3d"
8,"Ajax","5d","Secondary",7,-188.35,-186.77,0.287006827972847,0.89,0.892691375058801,23,0.2601,0.220415957775396,"Ajax|Secondary|5d"
8,"Pickering","1d","Total",2,-116.31,-116.9,0.838561299761943,0.81,0.810603340398985,20,0.8244,0.213352528454303,"Pickering|Total|1d"
8,"Ajax","1d","Total",1,-79.32,-79,1.53501294485793,0.39,0.393751542347492,16,0.8267,0.171792342088787,"Ajax|Total|1d"
8,"Ajax","5d","Total",7,-183.53,-181.72,0.317929734224564,0.97,0.966797561268209,23,0.6522,0.00233908472488997,"Ajax|Total|5d"
9,"Pickering","1d","Elementary",1,-120.61,-118.28,1.71016635794175,0.62,0.618704134004386,26,0.7181,0.222200421836235,"Pickering|Elementary|1d"
9,"Ajax","1d","Elementary",1,-63.33,-70.29,1.41610374068051,0.77,0.773465737155144,16,0.4411,0.234602582913546,"Ajax|Elementary|1d"
9,"Ajax","5d","Elementary",-2,-91.81,-109.3,0.374837916699694,0.91,0.910066634223691,16,0.3971,0.210851700454424,"Ajax|Elementary|5d"
9,"Ajax","7d","Elementary",2,-111.95,-113.74,0.256809385888498,0.94,0.935426622093121,14,0.5131,-0.192733229091375,"Ajax|Elementary|7d"
9,"Pickering","1d","Secondary",1,-169.81,-166.04,0.933027617752563,0.34,0.336275691198443,28,0.2284,0.319349496926159,"Pickering|Secondary|1d"
9,"Ajax","1d","Secondary",-6,-81.75,-82.21,1.15525999326683,0.19,0.19274596336146,15,0.7631,0.297214241544312,"Ajax|Secondary|1d"
9,"Ajax","5d","Secondary",-3,-150.14,-152.14,0.134216703630861,0.66,0.657714541832715,16,0.2631,-0.169503727114931,"Ajax|Secondary|5d"
9,"Ajax","7d","Secondary",-3,-142.91,-147.12,0.0776830309367986,0.72,0.71529680636354,14,0.7841,-0.213215427140345,"Ajax|Secondary|7d"
9,"Pickering","1d","Total",1,-136.8,-133.68,1.38038858170608,0.58,0.576240179185619,26,0.2892,0.281487185171148,"Pickering|Total|1d"
9,"Ajax","1d","Total",1,-72.47,-75.62,1.35651384942365,0.66,0.662424164902668,16,0.4845,0.231430220785998,"Ajax|Total|1d"
9,"Ajax","5d","Total",-2,-104.4,-122.77,0.244628931167074,0.92,0.923750666954922,16,0.9679,0.221315685216552,"Ajax|Total|5d"
9,"Ajax","7d","Total",1,-116.93,-118.59,0.236644241377554,0.9,0.896499299210943,14,0.3363,0.058500739766297,"Ajax|Total|7d"
10,"Pickering","1d","Elementary",4,-82.65,-84.43,1.49304488281512,0.71,0.710451253117845,18,0.6517,0.219344313292078,"Pickering|Elementary|1d"
10,"Ajax","1d","Elementary",3,-52.56,-59.54,1.09789036133673,0.81,0.806597991415411,12,0.8124,-0.211404264218804,"Ajax|Elementary|1d"
10,"Ajax","3d","Elementary",7,-188.28,-182.23,1.13152834546329,0.81,0.807733841337077,36,0.1584,0.289571284430169,"Ajax|Elementary|3d"
