"real","n_retained","statistic","scored"
1,15,0.466100798921319,TRUE
2,10,0.527678856784624,TRUE
3,5,0.682035195256929,TRUE
4,15,0.237336246879555,TRUE
5,10,0.51085802571637,TRUE
6,10,0.554187120376809,TRUE
7,11,0.443737489576143,TRUE
8,10,0.578074574943881,TRUE
9,12,0.546582537092622,TRUE
10,12,0.561472260687953,TRUE
11,7,0.305962318544886,TRUE
12,10,0.380038449682385,TRUE
13,9,0.391922463628976,TRUE
14,9,0.372481738104146,TRUE
15,12,0.748204433425604,TRUE
16,7,0.388203430179225,TRUE
17,6,0.456387820191156,TRUE
18,9,0.425064928948681,TRUE
19,12,0.562454404796143,TRUE
20,10,0.544664154247551,TRUE
21,3,NA,FALSE
22,14,0.432115688286445,TRUE
23,13,0.570712547832527,TRUE
24,7,0.649337869715084,TRUE
25,12,0.450839346474261,TRUE
26,11,0.450180406497393,TRUE
27,10,0.486331264779822,TRUE
28,14,0.652906741606928,TRUE
29,9,0.243684923195186,TRUE
30,8,0.675528308020096,TRUE
31,5,0.280206137599932,TRUE
32,11,0.426951489865185,TRUE
33,12,0.473560543937705,TRUE
34,4,NA,FALSE
35,9,0.626779194702001,TRUE
36,11,0.383666852565335,TRUE
37,5,0.217705958965896,TRUE
38,12,0.749948758347933,TRUE
39,7,0.306443933031071,TRUE
40,13,0.370855617501779,TRUE
41,9,0.44827737683009,TRUE
42,12,0.5044014289915,TRUE
43,9,0.397277641421125,TRUE
44,7,0.590175419100702,TRUE
45,12,0.494279457790085,TRUE
46,7,0.374681647534785,TRUE
47,12,0.399337389443625,TRUE
48,5,0.555282720963068,TRUE
49,9,0.488076828827318,TRUE
50,7,0.64610303573377,TRUE
51,9,0.556093696829701,TRUE
52,3,NA,FALSE
53,13,0.400331204145151,TRUE
54,14,0.460285762080339,TRUE
55,7,0.443104316743944,TRUE
56,15,0.611138831578218,TRUE
57,12,0.50772767543369,TRUE
58,7,0.546123355225164,TRUE
59,10,0.479962541886806,TRUE
60,17,0.520474256539768,TRUE
61,6,0.297583232198343,TRUE
62,9,0.53437231253614,TRUE
63,9,0.554505381355087,TRUE
64,11,0.5556247544268,TRUE
65,9,0.460096102899492,TRUE
66,10,0.366242341109152,TRUE
67,10,0.364109447319126,TRUE
68,5,0.466566838219974,TRUE
69,11,0.467189568715482,TRUE
70,9,0.431484947765462,TRUE
71,6,0.408419682829805,TRUE
72,12,0.586191079573176,TRUE
73,12,0.349508057377412,TRUE
74,14,0.470559554304716,TRUE
75,15,0.401856324198691,TRUE
76,12,0.532584930002352,TRUE
77,9,0.58472467268818,TRUE
78,14,0.397267400948457,TRUE
79,10,0.432185038167573,TRUE
80,10,0.352744404587417,TRUE
81,4,NA,FALSE
82,8,0.455636718118792,TRUE
83,9,0.478881290230768,TRUE
84,9,0.502600948496956,TRUE
85,13,0.48867314821688,TRUE
86,9,0.591292599368147,TRUE
87,3,NA,FALSE
88,11,0.619058182442066,TRUE
89,12,0.20694413976434,TRUE
90,11,0.331142583849625,TRUE
91,6,0.526606783075221,TRUE
92,10,0.543879503434813,TRUE
93,12,0.462727023145076,TRUE
94,18,0.609263965220737,TRUE
95,13,0.501275172471326,TRUE
96,7,0.453328800821671,TRUE
97,12,0.530439713322501,TRUE
98,6,0.480051041105504,TRUE
99,14,0.638011303128391,TRUE
100,12,0.44939480247457,TRUE
101,6,0.471874313654331,TRUE
102,9,0.671424078696208,TRUE
103,5,0.495910284077098,TRUE
104,9,0.543973981854372,TRUE
105,12,0.457051505069236,TRUE
106,3,NA,FALSE
107,9,0.427709461693741,TRUE
108,11,0.532769162272836,TRUE
109,14,0.402433326511175,TRUE
110,12,0.396965878818565,TRUE
111,17,0.567848077649637,TRUE
112,13,0.555820456844183,TRUE
113,13,0.722932022283538,TRUE
114,6,0.433248050398867,TRUE
115,6,0.463077552757011,TRUE
116,9,0.268422126936867,TRUE
117,9,0.474961723726291,TRUE
118,10,0.47698687273082,TRUE
119,6,0.600767212732356,TRUE
120,12,0.366050681439459,TRUE
121,8,0.654389939060462,TRUE
122,9,0.153705920675168,TRUE
123,10,0.451158775700327,TRUE
124,11,0.477091121479255,TRUE
125,7,0.72603681166048,TRUE
126,5,0.320962380780394,TRUE
127,15,0.613625484008722,TRUE
128,13,0.39974328307195,TRUE
129,12,0.334686149823774,TRUE
130,8,0.529675911081479,TRUE
131,9,0.292682901833035,TRUE
132,6,0.6712984132713,TRUE
133,10,0.78090760423447,TRUE
134,11,0.732440315408027,TRUE
135,7,0.265427829459951,TRUE
136,13,0.382435431973252,TRUE
137,11,0.492165882389797,TRUE
138,9,0.433998129615362,TRUE
139,7,0.303293899196335,TRUE
140,14,0.485655047959192,TRUE
141,10,0.60962883381287,TRUE
142,20,0.528295799452514,TRUE
143,12,0.558283846005684,TRUE
144,9,0.484770888709871,TRUE
145,5,0.405896902494814,TRUE
146,8,0.360545303705225,TRUE
147,7,0.567453072718347,TRUE
148,11,0.543749946041857,TRUE
149,11,0.317191873448953,TRUE
150,7,0.526831902177171,TRUE
151,5,0.698183570846691,TRUE
152,6,0.656352123080312,TRUE
153,11,0.485032207441439,TRUE
154,10,0.517822076936499,TRUE
155,6,0.424499727266562,TRUE
156,11,0.641110786040265,TRUE
157,9,0.567470384263939,TRUE
158,9,0.505815377954803,TRUE
159,10,0.685303198990509,TRUE
160,6,0.610844190177605,TRUE
161,10,0.569676165937184,TRUE
162,9,0.590368089144079,TRUE
163,5,0.412596303762434,TRUE
164,14,0.588655492187624,TRUE
165,9,0.401186677559959,TRUE
166,10,0.601380319298459,TRUE
167,12,0.58253458582069,TRUE
168,6,0.620150143694053,TRUE
169,6,0.594296299558187,TRUE
170,15,0.528806201262295,TRUE
171,7,0.163327342715585,TRUE
172,7,0.453366701692666,TRUE
173,8,0.573143026921883,TRUE
174,8,0.351246239645072,TRUE
175,14,0.629500470394155,TRUE
176,13,0.480265279393674,TRUE
177,8,0.356271415307194,TRUE
178,14,0.635216215933903,TRUE
179,13,0.504027302658618,TRUE
180,6,0.633071960493034,TRUE
181,10,0.423817154028181,TRUE
182,11,0.735572842178527,TRUE
183,9,0.402196400664945,TRUE
184,9,0.313576255969103,TRUE
185,12,0.46524558857786,TRUE
186,7,0.447613563925033,TRUE
187,3,NA,FALSE
188,9,0.450090035858211,TRUE
189,10,0.521589840656156,TRUE
190,6,0.332188888214104,TRUE
191,7,0.500955423836432,TRUE
192,11,0.355720193813744,TRUE
193,6,0.715788573694395,TRUE
194,7,0.399019686954926,TRUE
195,10,0.694201076669791,TRUE
196,9,0.456388824203734,TRUE
197,6,0.816574413603565,TRUE
198,9,0.558569308944967,TRUE
199,6,0.534758493813062,TRUE
200,12,0.453462473630767,TRUE
201,8,0.333060361319653,TRUE
202,15,0.623635389579129,TRUE
203,11,0.41934361880987,TRUE
204,12,0.448052383869743,TRUE
205,13,0.334878243201492,TRUE
206,10,0.629594708916546,TRUE
207,9,0.678057483181776,TRUE
208,4,NA,FALSE
209,11,0.663397403970797,TRUE
210,9,0.666401475708074,TRUE
211,9,0.642686206041478,TRUE
212,9,0.313630391472418,TRUE
213,10,0.689177835598086,TRUE
214,10,0.500500115830354,TRUE
215,14,0.321787560301345,TRUE
216,6,0.62969404082032,TRUE
217,10,0.435600991607048,TRUE
218,6,0.828941838162116,TRUE
219,10,0.488074058202574,TRUE
220,13,0.420449845845995,TRUE
221,12,0.566745106813522,TRUE
222,15,0.412582933995879,TRUE
223,12,0.571728146069006,TRUE
224,5,0.453810499298699,TRUE
225,13,0.549167122911732,TRUE
226,6,0.527772739248381,TRUE
227,9,0.337379024951377,TRUE
228,9,0.695127267406342,TRUE
229,9,0.517788606228971,TRUE
230,6,0.491454387491276,TRUE
231,9,0.568674853497123,TRUE
232,8,0.619968374819354,TRUE
233,12,0.425376211093977,TRUE
234,12,0.680827541322691,TRUE
235,10,0.381113023316577,TRUE
236,15,0.529481843450785,TRUE
237,8,0.612399498091496,TRUE
238,11,0.662404245956642,TRUE
239,12,0.273336307935879,TRUE
240,13,0.680301397110731,TRUE
241,14,0.380791843446111,TRUE
242,8,0.423067817324726,TRUE
243,7,0.519789142310505,TRUE
244,10,0.506429581114827,TRUE
245,10,0.503552739813375,TRUE
246,9,0.610156278795018,TRUE
247,7,0.581834503040359,TRUE
248,12,0.461293601407005,TRUE
249,13,0.479055042012419,TRUE
250,10,0.507015194362685,TRUE
251,3,NA,FALSE
252,12,0.401477193050239,TRUE
253,9,0.474003191518068,TRUE
254,11,0.46224059826638,TRUE
255,11,0.665978317232996,TRUE
256,10,0.425139120611292,TRUE
257,7,0.608945961229704,TRUE
258,12,0.597832269336738,TRUE
259,6,0.607873979246073,TRUE
260,7,0.310110984284961,TRUE
261,4,NA,FALSE
262,8,0.351895842166297,TRUE
263,6,0.299221977410502,TRUE
264,12,0.475682860492164,TRUE
265,13,0.646172177957214,TRUE
266,8,0.391043507705655,TRUE
267,11,0.556042530909346,TRUE
268,11,0.537157470267232,TRUE
269,11,0.410154618031592,TRUE
270,6,0.393089447506127,TRUE
271,11,0.451687310662605,TRUE
272,9,0.718906829712694,TRUE
273,10,0.496388607513451,TRUE
274,7,0.61904239647037,TRUE
275,8,0.780178640415893,TRUE
276,9,0.533460345614834,TRUE
277,11,0.396581039218727,TRUE
278,8,0.258910441322628,TRUE
279,6,0.354455202123398,TRUE
280,15,0.470480077681536,TRUE
281,8,0.295808801017114,TRUE
282,10,0.611271579095791,TRUE
283,12,0.407478133651599,TRUE
284,12,0.624034433554304,TRUE
285,9,0.41156908291707,TRUE
286,9,0.278823291373929,TRUE
287,3,NA,FALSE
288,11,0.541752460743941,TRUE
289,9,0.291957917823003,TRUE
290,6,0.550203202075834,TRUE
291,10,0.595984135120786,TRUE
292,11,0.645804598858416,TRUE
293,11,0.276659001234029,TRUE
294,12,0.464350441487549,TRUE
295,12,0.397786798580989,TRUE
296,12,0.56460411729265,TRUE
297,10,0.587768690424393,TRUE
298,12,0.501250216165476,TRUE
299,11,0.470501799891819,TRUE
300,6,0.515948060556227,TRUE
301,9,0.34698804797685,TRUE
302,12,0.52747849848835,TRUE
303,10,0.638858237801424,TRUE
304,10,0.369992351291757,TRUE
