"real","n_retained","statistic","scored"
1,7,0.501351245933211,TRUE
2,6,0.325129130029334,TRUE
3,14,0.396424616606952,TRUE
4,6,0.268383021416502,TRUE
5,6,0.840891419623998,TRUE
6,6,0.712293066042293,TRUE
7,7,0.536410701054399,TRUE
8,4,NA,FALSE
9,5,0.333723945042364,TRUE
10,9,0.578421909541527,TRUE
11,7,0.588045298575216,TRUE
12,10,0.386823618699247,TRUE
13,10,0.597884825772263,TRUE
14,10,0.421139547029957,TRUE
15,12,0.599867844566231,TRUE
16,6,0.348186650331116,TRUE
17,7,0.537885441551176,TRUE
18,9,0.440117956498224,TRUE
19,7,0.354655016620096,TRUE
20,15,0.535881314998531,TRUE
21,11,0.5267365680326,TRUE
22,10,0.611522960357654,TRUE
23,11,0.443222331329071,TRUE
24,12,0.45591819795657,TRUE
25,11,0.557527239656684,TRUE
26,8,0.464263985319323,TRUE
27,4,NA,FALSE
28,9,0.655459117654032,TRUE
29,9,0.598030552983517,TRUE
30,13,0.674334452340063,TRUE
31,10,0.355687393078774,TRUE
32,8,0.480064005123971,TRUE
33,7,0.425168870944113,TRUE
34,8,0.696366648469353,TRUE
35,11,0.602285928682751,TRUE
36,10,0.186463760774493,TRUE
37,11,0.441879399545722,TRUE
38,9,0.71222397686388,TRUE
39,12,0.700512715719993,TRUE
40,6,0.268332755355893,TRUE
41,7,0.433331761874023,TRUE
42,10,0.661236683627205,TRUE
43,10,0.475563386742086,TRUE
44,11,0.468964454985015,TRUE
45,11,0.654187934005332,TRUE
46,11,0.478503954652883,TRUE
47,10,0.691085327268199,TRUE
48,4,NA,FALSE
49,7,0.6393105020488,TRUE
50,11,0.500797263856045,TRUE
51,12,0.467280123077607,TRUE
52,11,0.290502384705948,TRUE
53,11,0.44453364324458,TRUE
54,6,0.520188411740938,TRUE
55,10,0.62105198131845,TRUE
56,9,0.528840887924982,TRUE
57,12,0.526958394952587,TRUE
58,11,0.434137928615417,TRUE
59,13,0.248193195786978,TRUE
60,11,0.586761033664338,TRUE
61,10,0.629613907251128,TRUE
62,7,0.609693888333034,TRUE
63,12,0.537151643455622,TRUE
64,6,0.164977656690325,TRUE
65,7,0.478887427599535,TRUE
66,12,0.526542041936875,TRUE
67,9,0.685729911158544,TRUE
68,11,0.715975002091411,TRUE
69,11,0.691600796626881,TRUE
70,11,0.398305150093903,TRUE
71,7,0.565968114892096,TRUE
72,4,NA,FALSE
73,13,0.497728851271528,TRUE
74,4,NA,FALSE
75,9,0.527594768404967,TRUE
76,6,0.134756475124774,TRUE
77,9,0.238111709165782,TRUE
78,6,0.599912346605554,TRUE
79,6,0.690375485739593,TRUE
80,9,0.63130499168659,TRUE
81,6,0.475809262753977,TRUE
82,12,0.601384737252842,TRUE
83,4,NA,FALSE
84,8,0.570068197043635,TRUE
85,7,0.590251075629282,TRUE
86,9,0.545262825374807,TRUE
87,6,0.445776923978833,TRUE
88,10,0.535107024037121,TRUE
89,11,0.304909953014552,TRUE
90,11,0.298228752044838,TRUE
91,7,0.524173133088163,TRUE
92,8,0.32189059117395,TRUE
