"real","n_retained","statistic","scored"
1,12,0.580754511377455,TRUE
2,12,0.488413689902449,TRUE
3,9,0.479901298966727,TRUE
4,9,0.432039191440926,TRUE
5,7,0.461042683022243,TRUE
6,14,0.45401300668011,TRUE
7,13,0.427054714494515,TRUE
8,13,0.562860893659461,TRUE
9,19,0.547332942846936,TRUE
10,10,0.535919256575768,TRUE
11,14,0.400072890723109,TRUE
12,11,0.479999174634573,TRUE
13,7,0.582028596989707,TRUE
14,11,0.415489260551986,TRUE
15,13,0.625707093756924,TRUE
16,14,0.473235242413484,TRUE
17,16,0.52163243594533,TRUE
18,17,0.599961271443277,TRUE
19,12,0.478597103416908,TRUE
20,14,0.507795502795802,TRUE
21,12,0.554328157381766,TRUE
22,15,0.611171929341133,TRUE
23,11,0.31096404727398,TRUE
24,10,0.592073281924976,TRUE
25,13,0.317393328734563,TRUE
26,10,0.62884124079413,TRUE
27,12,0.388006668051808,TRUE
28,11,0.516828657642609,TRUE
29,8,0.633110611878181,TRUE
30,18,0.410183982405187,TRUE
31,14,0.435980255864054,TRUE
32,13,0.341488960066819,TRUE
33,8,0.683777427179686,TRUE
34,13,0.61127104343865,TRUE
35,14,0.562216824235444,TRUE
36,15,0.407387994285953,TRUE
37,15,0.619393826168757,TRUE
38,10,0.563322594976418,TRUE
39,13,0.55088177324057,TRUE
40,15,0.641487302541496,TRUE
41,19,0.439506608695165,TRUE
42,12,0.651896851724418,TRUE
43,8,0.414881736883803,TRUE
44,15,0.630080470387251,TRUE
45,10,0.515712819516048,TRUE
46,12,0.299240275668154,TRUE
47,15,0.660218903698297,TRUE
48,14,0.477306885645397,TRUE
49,12,0.318387335526811,TRUE
50,19,0.488535243074959,TRUE
51,8,0.404023737231227,TRUE
52,12,0.566668820147722,TRUE
53,6,0.696110173784076,TRUE
54,15,0.333893601237122,TRUE
55,15,0.545369786466288,TRUE
56,6,0.870071961902124,TRUE
57,16,0.542184506783352,TRUE
58,12,0.503056079783405,TRUE
59,16,0.589879593435287,TRUE
60,10,0.398587343121119,TRUE
61,10,0.44210862025072,TRUE
62,19,0.324413070950857,TRUE
63,8,0.502108305174479,TRUE
64,11,0.358958288569127,TRUE
65,8,0.624844971019526,TRUE
66,13,0.575601149391263,TRUE
67,10,0.355404429218229,TRUE
68,9,0.399292002578114,TRUE
69,12,0.401903567727098,TRUE
70,13,0.643449583619319,TRUE
71,11,0.391170693069594,TRUE
72,7,0.437649887988705,TRUE
73,8,0.30258399650118,TRUE
74,12,0.479733729124045,TRUE
75,14,0.465498998588488,TRUE
76,11,0.468024420005387,TRUE
77,14,0.748621547533315,TRUE
78,17,0.468545808423321,TRUE
79,13,0.550205215264631,TRUE
80,6,0.520191733556418,TRUE
81,13,0.626133873217005,TRUE
82,11,0.551577564777816,TRUE
83,13,0.469065873627389,TRUE
84,8,0.669512091865664,TRUE
85,12,0.512413652945037,TRUE
86,13,0.68744306120729,TRUE
87,12,0.537039789845826,TRUE
88,11,0.603719962466389,TRUE
89,14,0.365694987944374,TRUE
90,12,0.561449199565721,TRUE
91,13,0.630224012648479,TRUE
92,12,0.441951995669117,TRUE
93,12,0.390240810046572,TRUE
94,8,0.178117519672055,TRUE
95,14,0.448676474725678,TRUE
96,14,0.545595826900667,TRUE
97,18,0.575309769539242,TRUE
98,13,0.473780151766086,TRUE
99,17,0.420752447020069,TRUE
100,13,0.635340352329271,TRUE
101,9,0.636790001534877,TRUE
102,12,0.531906619873572,TRUE
103,16,0.4657667023846,TRUE
104,18,0.563007456422699,TRUE
105,18,0.47607513987217,TRUE
106,10,0.412469012014106,TRUE
107,17,0.702639572714609,TRUE
108,11,0.714708830101879,TRUE
109,13,0.438193568132446,TRUE
110,11,0.373737914074364,TRUE
111,18,0.499939480525382,TRUE
112,8,0.427510564461431,TRUE
113,15,0.698197334556686,TRUE
114,9,0.641041752045492,TRUE
115,10,0.479510710914741,TRUE
116,17,0.562901768116872,TRUE
117,14,0.532787526095947,TRUE
118,11,0.489900028703902,TRUE
119,12,0.525065811923845,TRUE
120,18,0.427157407202616,TRUE
121,10,0.452628728079011,TRUE
122,11,0.604794178162113,TRUE
123,11,0.610625660336324,TRUE
124,9,0.359425868505045,TRUE
125,10,0.62287287065613,TRUE
126,18,0.467473762971609,TRUE
127,11,0.516354851439284,TRUE
128,14,0.436897868972791,TRUE
129,18,0.402694233150554,TRUE
130,17,0.47339852834969,TRUE
131,13,0.267852807737303,TRUE
132,17,0.561518997747805,TRUE
133,11,0.530571467144517,TRUE
134,10,0.571305572300208,TRUE
135,13,0.569476941687144,TRUE
136,15,0.496477538728433,TRUE
137,13,0.384374442693451,TRUE
138,17,0.684271395725853,TRUE
139,8,0.432718001475742,TRUE
140,15,0.490794211675122,TRUE
141,10,0.404531699359194,TRUE
142,14,0.47680078212064,TRUE
143,10,0.644259028567399,TRUE
144,12,0.53066887380166,TRUE
145,9,0.335221576355099,TRUE
146,18,0.50950785352872,TRUE
147,12,0.364950954057769,TRUE
148,10,0.586308434815559,TRUE
149,12,0.549594479539116,TRUE
150,13,0.432658141756593,TRUE
151,13,0.425514855186786,TRUE
152,17,0.363105525045407,TRUE
153,13,0.405847509149044,TRUE
154,17,0.470275103355006,TRUE
155,15,0.425496087794153,TRUE
156,11,0.430954789441337,TRUE
157,12,0.496203745338253,TRUE
158,14,0.3540928545574,TRUE
159,15,0.547220338439265,TRUE
160,8,0.456629434477633,TRUE
161,12,0.232140470086843,TRUE
162,9,0.330799390700397,TRUE
163,11,0.615199140124931,TRUE
164,8,0.571700262916112,TRUE
165,14,0.429345775440405,TRUE
166,13,0.367469420418462,TRUE
167,13,0.306092287788102,TRUE
168,15,0.558610346952096,TRUE
169,10,0.313795940776977,TRUE
170,9,0.491588238992081,TRUE
171,13,0.458842459224839,TRUE
172,10,0.653888705200407,TRUE
173,13,0.593164054708928,TRUE
174,17,0.516829288406601,TRUE
175,17,0.418401393329045,TRUE
176,15,0.559380502425037,TRUE
177,7,0.406931783175297,TRUE
178,11,0.486552597563865,TRUE
179,15,0.705633241869028,TRUE
180,11,0.489085226106176,TRUE
181,12,0.580452890396313,TRUE
182,10,0.319459926102421,TRUE
183,11,0.46104484210649,TRUE
184,11,0.531796090599093,TRUE
185,13,0.487016195378353,TRUE
186,13,0.6543511638838,TRUE
187,15,0.617732504752753,TRUE
188,15,0.556337034181316,TRUE
189,15,0.536506034718691,TRUE
190,7,0.535220310434267,TRUE
191,14,0.523508077821424,TRUE
192,12,0.732732725827831,TRUE
193,12,0.476389335942954,TRUE
194,12,0.359116860754706,TRUE
195,16,0.610679341971928,TRUE
196,12,0.426540145852439,TRUE
197,14,0.423192600969404,TRUE
198,15,0.482885749170102,TRUE
199,13,0.427409514145076,TRUE
200,6,0.20735590744218,TRUE
