"City","Virus","n","pair","observed_r","surrogate_r","gap","surrogate_type"
"Pickering","Noro",137,"1d-3d",0.996799251868188,-0.0134909436734029,1.01029019554159,"AAFT"
"Pickering","Noro",137,"1d-5d",0.755435665608117,-0.0243899761745862,0.779825641782703,"AAFT"
"Pickering","Noro",321,"3d-5d",0.838285912185696,-0.0222949097862565,0.860580821971952,"AAFT"
"Pickering","Noro",136,"1d-7d",0.690025889913561,-0.0575233108014218,0.747549200714982,"AAFT"
"Pickering","Noro",320,"3d-7d",0.71617827031282,-0.0277502071900848,0.743928477502905,"AAFT"
"Pickering","Noro",356,"5d-7d",0.873579901206423,0.02529471827071,0.848285182935713,"AAFT"
"Pickering","EV",123,"1d-3d",0.999738383770418,-0.00813448795963995,1.00787287173006,"AAFT"
"Pickering","EV",123,"1d-5d",0.912768937811973,-0.0177482788673165,0.930517216679289,"AAFT"
"Pickering","EV",292,"3d-5d",0.957123990896864,0.00995327191850733,0.947170718978356,"AAFT"
"Pickering","EV",122,"1d-7d",0.916459207122101,-0.00494486861351424,0.921404075735616,"AAFT"
"Pickering","EV",291,"3d-7d",0.911599087128996,-0.0185205598028173,0.930119646931813,"AAFT"
"Pickering","EV",335,"5d-7d",0.872282262510779,-0.0260616879925014,0.89834395050328,"AAFT"
"Pickering","InfA",51,"1d-3d",0.993790665541539,0.0294982494163526,0.964292416125186,"AAFT"
"Pickering","InfA",51,"1d-5d",0.972790062168181,0.00230827648351198,0.970481785684669,"AAFT"
"Pickering","InfA",128,"3d-5d",0.97515283676174,-0.0462141111971102,1.02136694795885,"AAFT"
"Pickering","InfA",51,"1d-7d",0.943851770607958,0.0285368354715174,0.915314935136441,"AAFT"
"Pickering","InfA",128,"3d-7d",0.910147805617738,-0.0966111390826646,1.0067589447004,"AAFT"
"Pickering","InfA",163,"5d-7d",0.902724722494919,0.0318184075476983,0.87090631494722,"AAFT"
"Ajax","Noro",131,"1d-3d",0.998598018596788,0.0164498359410934,0.982148182655695,"AAFT"
"Ajax","Noro",131,"1d-5d",0.926398068998941,-0.025962559096958,0.952360628095899,"AAFT"
"Ajax","Noro",311,"3d-5d",0.945475280477068,-0.0152376726127051,0.960712953089774,"AAFT"
"Ajax","Noro",131,"1d-7d",0.909926519269286,-0.0280501658231548,0.937976685092441,"AAFT"
"Ajax","Noro",311,"3d-7d",0.928459616522284,-0.0322425637777391,0.960702180300023,"AAFT"
"Ajax","Noro",352,"5d-7d",0.972567018476571,0.0121561939661597,0.960410824510412,"AAFT"
"Ajax","EV",127,"1d-3d",0.999707709651374,-0.0478310707501631,1.04753878040154,"AAFT"
"Ajax","EV",127,"1d-5d",0.963035247168556,0.0148503782242083,0.948184868944348,"AAFT"
"Ajax","EV",303,"3d-5d",0.967914757626968,0.013476069394329,0.954438688232639,"AAFT"
"Ajax","EV",127,"1d-7d",0.937836733577042,0.0261134878048388,0.911723245772203,"AAFT"
"Ajax","EV",303,"3d-7d",0.948201294361417,0.0453466752988088,0.902854619062609,"AAFT"
"Ajax","EV",346,"5d-7d",0.982407356388393,0.0569808443033908,0.925426512085002,"AAFT"
"Ajax","InfA",41,"1d-3d",0.942251568900172,0.027536311050413,0.914715257849759,"AAFT"
"Ajax","InfA",41,"1d-5d",0.870300072083441,-0.0725826312159042,0.942882703299345,"AAFT"
"Ajax","InfA",103,"3d-5d",0.928187287623032,-0.0220599868064753,0.950247274429507,"AAFT"
"Ajax","InfA",41,"1d-7d",0.856697389613489,0.00393592582104129,0.852761463792448,"AAFT"
"Ajax","InfA",103,"3d-7d",0.906539957694061,0.0913014590479413,0.815238498646119,"AAFT"
"Ajax","InfA",126,"5d-7d",0.957477267066404,-0.0197541393762436,0.977231406442648,"AAFT"
