"City","Virus","n","pair","observed_r","surrogate_r","gap","surrogate_type"
"Pickering","Noro",137,"1d-3d",0.996799251868188,0.0651806613106841,0.931618590557504,"trend"
"Pickering","Noro",137,"1d-5d",0.755435665608117,0.144750655649018,0.610685009959098,"trend"
"Pickering","Noro",321,"3d-5d",0.838285912185696,0.185285465695175,0.65300044649052,"trend"
"Pickering","Noro",136,"1d-7d",0.690025889913561,0.14568568690203,0.544340203011531,"trend"
"Pickering","Noro",320,"3d-7d",0.71617827031282,0.166372495083239,0.549805775229581,"trend"
"Pickering","Noro",356,"5d-7d",0.873579901206423,0.23478063972956,0.638799261476863,"trend"
"Pickering","EV",123,"1d-3d",0.999738383770418,0.0650456123303183,0.9346927714401,"trend"
"Pickering","EV",123,"1d-5d",0.912768937811973,0.0421432847738009,0.870625653038172,"trend"
"Pickering","EV",292,"3d-5d",0.957123990896864,0.0513410347127355,0.905782956184128,"trend"
"Pickering","EV",122,"1d-7d",0.916459207122101,0.0546412335053996,0.861817973616702,"trend"
"Pickering","EV",291,"3d-7d",0.911599087128996,0.0384303773885974,0.873168709740398,"trend"
"Pickering","EV",335,"5d-7d",0.872282262510779,0.0449814990562738,0.827300763454505,"trend"
"Pickering","InfA",51,"1d-3d",0.993790665541539,0.212457232968791,0.781333432572748,"trend"
"Pickering","InfA",51,"1d-5d",0.972790062168181,0.229287733975755,0.743502328192426,"trend"
"Pickering","InfA",128,"3d-5d",0.97515283676174,0.24524861009829,0.72990422666345,"trend"
"Pickering","InfA",51,"1d-7d",0.943851770607958,0.213769633394884,0.730082137213074,"trend"
"Pickering","InfA",128,"3d-7d",0.910147805617738,0.265399981133896,0.644747824483842,"trend"
"Pickering","InfA",163,"5d-7d",0.902724722494919,0.214515569291584,0.688209153203335,"trend"
"Ajax","Noro",131,"1d-3d",0.998598018596788,0.35081964490171,0.647778373695078,"trend"
"Ajax","Noro",131,"1d-5d",0.926398068998941,0.361821010264651,0.56457705873429,"trend"
"Ajax","Noro",311,"3d-5d",0.945475280477068,0.338961305641118,0.60651397483595,"trend"
"Ajax","Noro",131,"1d-7d",0.909926519269286,0.390531178702961,0.519395340566326,"trend"
"Ajax","Noro",311,"3d-7d",0.928459616522284,0.368461642541855,0.559997973980429,"trend"
"Ajax","Noro",352,"5d-7d",0.972567018476571,0.427101938008618,0.545465080467954,"trend"
"Ajax","EV",127,"1d-3d",0.999707709651374,0.491446913431652,0.508260796219722,"trend"
"Ajax","EV",127,"1d-5d",0.963035247168556,0.52070213250517,0.442333114663386,"trend"
"Ajax","EV",303,"3d-5d",0.967914757626968,0.502503649160489,0.465411108466478,"trend"
"Ajax","EV",127,"1d-7d",0.937836733577042,0.533202023939219,0.404634709637822,"trend"
"Ajax","EV",303,"3d-7d",0.948201294361417,0.505660375175226,0.442540919186192,"trend"
"Ajax","EV",346,"5d-7d",0.982407356388393,0.511001265350171,0.471406091038222,"trend"
"Ajax","InfA",41,"1d-3d",0.942251568900172,0.519838842286238,0.422412726613933,"trend"
"Ajax","InfA",41,"1d-5d",0.870300072083441,0.570288484056331,0.300011588027109,"trend"
"Ajax","InfA",103,"3d-5d",0.928187287623032,0.646604865720831,0.2815824219022,"trend"
"Ajax","InfA",41,"1d-7d",0.856697389613489,0.574241361385565,0.282456028227924,"trend"
"Ajax","InfA",103,"3d-7d",0.906539957694061,0.627573373040003,0.278966584654057,"trend"
"Ajax","InfA",126,"5d-7d",0.957477267066404,0.652020060099463,0.305457206966942,"trend"
