"City","Virus","n","pair","observed_r","surrogate_r","gap","surrogate_type"
"Pickering","Noro",137,"1d-3d",0.996799251868188,-0.000161792400093693,0.996961044268282,"IAAFT"
"Pickering","Noro",137,"1d-5d",0.755435665608117,-0.0317124776998208,0.787148143307937,"IAAFT"
"Pickering","Noro",321,"3d-5d",0.838285912185696,0.000686566385242603,0.837599345800453,"IAAFT"
"Pickering","Noro",136,"1d-7d",0.690025889913561,0.0225936254869871,0.667432264426573,"IAAFT"
"Pickering","Noro",320,"3d-7d",0.71617827031282,-0.00908993558312681,0.725268205895947,"IAAFT"
"Pickering","Noro",356,"5d-7d",0.873579901206423,-0.0554109207126106,0.928990821919033,"IAAFT"
"Pickering","EV",123,"1d-3d",0.999738383770418,-0.00785254024637464,1.00759092401679,"IAAFT"
"Pickering","EV",123,"1d-5d",0.912768937811973,-0.0171712127495017,0.929940150561474,"IAAFT"
"Pickering","EV",292,"3d-5d",0.957123990896864,-0.00119630497176525,0.958320295868629,"IAAFT"
"Pickering","EV",122,"1d-7d",0.916459207122101,-0.00108779933033767,0.917547006452439,"IAAFT"
"Pickering","EV",291,"3d-7d",0.911599087128996,0.0424001995007118,0.869198887628284,"IAAFT"
"Pickering","EV",335,"5d-7d",0.872282262510779,-0.0179974417764411,0.89027970428722,"IAAFT"
"Pickering","InfA",51,"1d-3d",0.993790665541539,0.0340656143176731,0.959725051223866,"IAAFT"
"Pickering","InfA",51,"1d-5d",0.972790062168181,0.098333558954291,0.87445650321389,"IAAFT"
"Pickering","InfA",128,"3d-5d",0.97515283676174,-0.0114596119977865,0.986612448759526,"IAAFT"
"Pickering","InfA",51,"1d-7d",0.943851770607958,0.0350647244702418,0.908787046137716,"IAAFT"
"Pickering","InfA",128,"3d-7d",0.910147805617738,0.00856949759389264,0.901578308023845,"IAAFT"
"Pickering","InfA",163,"5d-7d",0.902724722494919,0.00430999179935218,0.898414730695567,"IAAFT"
"Ajax","Noro",131,"1d-3d",0.998598018596788,-0.0423553478471114,1.0409533664439,"IAAFT"
"Ajax","Noro",131,"1d-5d",0.926398068998941,-0.0420888790805338,0.968486948079475,"IAAFT"
"Ajax","Noro",311,"3d-5d",0.945475280477068,0.0461933680612681,0.8992819124158,"IAAFT"
"Ajax","Noro",131,"1d-7d",0.909926519269286,0.0692369077761936,0.840689611493093,"IAAFT"
"Ajax","Noro",311,"3d-7d",0.928459616522284,0.03914679657682,0.889312819945464,"IAAFT"
"Ajax","Noro",352,"5d-7d",0.972567018476571,-0.000572314284859585,0.973139332761431,"IAAFT"
"Ajax","EV",127,"1d-3d",0.999707709651374,-0.109962224548944,1.10966993420032,"IAAFT"
"Ajax","EV",127,"1d-5d",0.963035247168556,-0.0395877577767328,1.00262300494529,"IAAFT"
"Ajax","EV",303,"3d-5d",0.967914757626968,-0.0990994600589065,1.06701421768587,"IAAFT"
"Ajax","EV",127,"1d-7d",0.937836733577042,0.00134991347981228,0.936486820097229,"IAAFT"
"Ajax","EV",303,"3d-7d",0.948201294361417,-0.108748468793701,1.05694976315512,"IAAFT"
"Ajax","EV",346,"5d-7d",0.982407356388393,0.048938523646856,0.933468832741537,"IAAFT"
"Ajax","InfA",41,"1d-3d",0.942251568900172,-0.0091078785370769,0.951359447437249,"IAAFT"
"Ajax","InfA",41,"1d-5d",0.870300072083441,0.0528353184024673,0.817464753680973,"IAAFT"
"Ajax","InfA",103,"3d-5d",0.928187287623032,0.0270317475060544,0.901155540116977,"IAAFT"
"Ajax","InfA",41,"1d-7d",0.856697389613489,0.0574363151308106,0.799261074482678,"IAAFT"
"Ajax","InfA",103,"3d-7d",0.906539957694061,-0.0352803948731361,0.941820352567197,"IAAFT"
"Ajax","InfA",126,"5d-7d",0.957477267066404,0.125251723968232,0.832225543098172,"IAAFT"
